Designator,Mid X,Mid Y,Layer,Rotation
C618,136.42499mm,100.898335mm,Bottom,0.0
D604,136.025054mm,98.723335mm,Bottom,180.0
R602,148.32505400000002mm,103.773335mm,Bottom,180.0
R603,147.55005400000002mm,105.773335mm,Bottom,0.0
R604,141.500054mm,98.473335mm,Bottom,90.0
R605,147.525054mm,104.773335mm,Bottom,180.0
R606,156.125054mm,104.04833500000001mm,Bottom,180.0
R607,153.42505400000002mm,97.948335mm,Bottom,180.0
R608,149.42505400000002mm,104.773335mm,Bottom,0.0
R609,142.42505400000002mm,109.12333500000001mm,Bottom,180.0
R610,151.500054mm,101.523335mm,Bottom,180.0
R611,153.42505400000002mm,101.523335mm,Bottom,180.0
R612,153.42505400000002mm,100.256669mm,Bottom,0.0
R613,143.400054mm,107.42333500000001mm,Bottom,90.0
R614,139.820763mm,108.198335mm,Bottom,0.0
R615,141.875054mm,107.723335mm,Bottom,0.0
R616,157.07505400000002mm,107.698335mm,Bottom,180.0
R618,144.80005400000002mm,105.773335mm,Bottom,180.0
R619,145.625054mm,104.773335mm,Bottom,180.0
R620,145.625054mm,103.773335mm,Bottom,0.0
R621,134.000054mm,108.633335mm,Bottom,270.0
R622,155.125054mm,107.698335mm,Bottom,0.0
R623,143.750054mm,103.773335mm,Bottom,180.0
R624,139.82505400000002mm,110.098335mm,Bottom,0.0
R629,134.01005400000003mm,104.486987mm,Bottom,90.0
R630,148.840054mm,107.213335mm,Bottom,180.0
U600,146.05005400000002mm,100.223335mm,Bottom,270.0
U601,136.70005400000002mm,109.148335mm,Bottom,0.0
U605,138.20005400000002mm,104.42296300000001mm,Bottom,180.0
C600,148.287554mm,98.848335mm,Top,270.0
C609,139.975054mm,100.273335mm,Top,270.0
C610,134.577054mm,106.823335mm,Top,0.0
C611,149.400054mm,104.92333500000001mm,Top,270.0
C612,149.400054mm,106.823335mm,Top,90.0
C613,135.475054mm,102.29833500000001mm,Top,0.0
C614,149.400054mm,102.79833500000001mm,Top,90.0
C615,139.30005400000002mm,109.598335mm,Top,90.0
C616,137.625054mm,104.760835mm,Top,270.0
D600,158.000054mm,99.698335mm,Top,90.0
D601,145.225054mm,98.37333500000001mm,Top,180.0
D602,142.250054mm,98.37333500000001mm,Top,0.0
D603,137.71760400000002mm,109.20333500000001mm,Top,270.0
Q600,153.560054mm,102.92333500000001mm,Top,90.0
Q601,153.650054mm,109.598335mm,Top,180.0
R600,149.350054mm,100.74833500000001mm,Top,270.0
R601,149.350054mm,98.848335mm,Top,270.0
R617,148.100054mm,109.598335mm,Top,90.0
R625,137.45005400000002mm,102.273335mm,Top,0.0
R626,147.225054mm,98.848335mm,Top,270.0
R627,140.100054mm,98.398335mm,Top,270.0
R628,137.225054mm,106.823335mm,Top,180.0
U602,143.750054mm,105.073335mm,Top,90.0
U603,135.125054mm,109.073335mm,Top,270.0
U604,135.17505400000002mm,104.598335mm,Top,0.0
U460,28.650018mm,49.679894mm,Top,0.0
C461,24.075018mm,50.229894mm,Top,270.0
C460,24.075018mm,47.554894mm,Top,90.0
R469,33.525017999999996mm,52.329893999999996mm,Top,90.0
R468,35.525017999999996mm,51.454893999999996mm,Top,0.0
R467,35.525017999999996mm,46.324894mm,Top,0.0
R466,33.625018mm,49.029894mm,Top,90.0
R461,35.550018mm,52.624894mm,Top,0.0
R464,35.525017999999996mm,47.499894mm,Top,0.0
R463,35.525017999999996mm,48.674894mm,Top,0.0
R462,35.525017999999996mm,50.280893999999996mm,Top,0.0
